TICKER,SETOR,DIVIDENDO,LIQUIDEZMEDIADIARIA,PVP,YELD,MEDIA_YIELD_12M,SOMA_YIELD_12M,SOMA_YIELD_ANO_CORRENTE,RENTABILIDADE,RENTABILIDADE_MES,VARIACAO_COTACAO_MES,COTACAO_FECHAMENTO,VPA,NUMERO_COTISTA,VOLATILITY
AAGR11,Indefinido,1.2088,8166.76,0,1.2500,1.1992,14.3900,3.8700,4.0810,10.2551,8.8939,96.9700,0.0000,0,67.033057810883
AAZQ11,Indefinido,0.0950,548840.62,0.8445,1.4400,1.3917,16.7000,4.7400,-1.1578,-1.0997,-2.5037,6.6200,8.6200,29667,22.684753722077
ABCP11,Shoppings,0.5000,64576.19,0.7142,0.6700,0.8742,10.4900,2.1200,14.5576,2.5183,1.8360,74.8800,107.6600,14987,33.154934803299
AFHI11,Papéis,0.9800,802593.9,0.9999,1.0400,1.0392,12.4700,3.2000,11.8905,7.8256,6.7157,94.2300,93.2100,42586,11.760353259438
AGRX11,Indefinido,0.1100,154992.76,0.7859,1.3800,1.2633,15.1600,4.1500,12.0723,7.0122,5.5556,7.9800,10.2300,19514,32.527217888726
AIEC11,Lajes Corporativas,0.3200,335393.19,0.5977,0.7300,1.4042,16.8500,3.7900,3.9409,-3.6419,-4.3402,43.8600,77.7800,18384,17.561761929095
AJFI11,Shoppings,0.0700,1677723.19,0.5995,1.0200,0.8917,10.7000,3.0800,-0.2238,3.5794,2.5335,6.8800,,12950,16.605253881132
ALMI11,Lajes Corporativas,3.3901,8754.38,0.2847,0.5500,0.5092,6.1100,2.0600,21.8655,2.3229,1.7632,616.9800,2046.7799,2006,37.849438623142
ALZC11,Papéis,1.5475,735544.24,1.2459,2.0600,1.3191,14.5100,3.9500,-16.6121,-5.5681,-7.4741,75.0200,,8102,34.150674048325
ALZM11,Fundo de Fundos,0.3984,164.43,0.8472,6.3000,1.5183,18.2200,7.5500,4.6483,4.9713,-1.2500,6.3200,7.4600,12195,15.521906497147
ALZR11,Misto,0.8055,1258541.48,0.9658,0.8000,0.7642,9.1700,2.4700,9.8571,4.9279,4.0951,100.6600,103.7400,152998,11.676871111276
APTO11,Imóveis Residenciais,0.0900,14990.95,0.8779,1.0600,1.0242,12.2900,3.1800,1.4240,1.5378,0.4728,8.5000,9.7500,8746,26.515336817184
APXM11,Shoppings,0.5454,268977.52,0.7277,0.6000,0.4308,5.1700,1.2200,-6.4855,0.9090,0.3071,91.4500,,616,52.618864402502
ARCT11,Imóveis Industriais e Logísticos,0.5000,1053903.45,0.8696,0.0000,1.0462,12.5547,0.0000,,0.0000,0.0000,,99.7700,43228,15.634888213165
AROA11,Imóveis Industriais e Logísticos,0.0062,4217.76,1.0316,0.6100,0.6542,7.8500,1.8700,2.9005,4.7589,4.1237,1.0100,,4059,34.122909906922
ARRI11,Papéis,0.0900,179726.05,0.8998,1.1500,1.1533,13.8400,3.5000,-3.9336,6.7316,5.5182,7.8400,8.4800,24580,17.505066348065
ARXD11,Papéis,0.0950,109006.67,0.8172,1.3000,0.5225,6.2700,4.0700,-4.7585,8.1225,6.7350,7.2900,,1426,95.628091305862
ASMT11,Lajes Corporativas,0.7700,31080.76,0.3732,1.1100,0.0000,0.0000,2.1600,-5.8881,-4.4552,-5.5041,69.3600,,1,54.534032851299
ASRF11,Indefinido,256.3287,494.91,1.1173,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,,68,33.155839949136
ATSA11,Shoppings,1.0300,685.76,0.651,1.9800,0.3550,4.2600,1.9800,-0.7504,-0.7504,-2.6774,51.9800,76.0300,300,25.168683282097
AURB11,Imóveis Comerciais - Outros,0.2000,4500.95,1.1214,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,,19,33.887488597861
AZPL11,Serviços Financeiros Diversos,0.0900,490479,0.7461,1.4400,1.1014,7.7100,4.2800,-1.4729,1.7646,0.3200,6.2700,,7093,37.377819927348
BARI11,Papéis,0.8800,447435.43,0.8118,1.3400,1.1583,13.9000,4.3000,0.2527,6.9456,5.5314,65.6300,90.5400,35845,20.825459343564
BBFI11B,Lajes Corporativas,634.2308,182918.19,0.4075,47.5100,5.8142,69.7700,69.7700,119.3947,53.7294,4.2163,1335.0000,864.7700,6989,43.395087164048
BBFO11,Fundo de Fundos,0.6700,300279.57,0.8751,1.1300,1.0342,12.4100,3.5500,1.9767,8.6951,7.4805,59.3400,70.7200,6828,15.205402599622
BBGO11,Indefinido,0.7900,283355.76,0.7629,1.1500,1.1175,13.4100,6.1000,-7.5710,16.4696,15.1454,68.5000,91.6600,11984,18.288256235439
BBIG11,Serviços Financeiros Diversos,0.0800,856018.86,0.7364,1.2000,1.1667,10.5000,3.6900,0.8666,0.4481,-0.7429,6.6800,,28909,23.436899324709
BBIM11,Papéis,0.0968,,0,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,0.0000,20,
BBPO11,Agências de Bancos,0.9800,1815419.7,0.8018,1.0900,0.9842,11.8100,11.8100,11.5540,-4.0252,-5.0601,90.0600,101.3900,68471,10.279900730323
BBRC11,Agências de Bancos,1.0800,76166.71,1.0091,1.1400,1.0850,13.0200,3.3900,-6.0164,3.5284,2.3614,94.9300,104.9300,9211,17.605960803905
BCIA11,Fundo de Fundos,0.8400,349086.95,0.898,1.0100,0.9708,11.6500,3.2300,5.7521,8.2427,7.1604,82.9100,92.4300,24495,18.687298257926
BCRI11,Papéis,0.7700,530362.81,0.8124,1.2500,1.2808,15.3700,4.0500,7.7350,7.1701,5.8471,61.7300,84.7700,43150,17.981109358892
BDIF11,Indefinido,1.0000,2012184.05,0,1.3400,1.1275,13.5300,3.9900,5.0400,2.5045,1.1491,74.8200,,0,15.533855729271
BDIV11,Indefinido,1.6000,277647,0,4.3600,6.8425,82.1100,4.3600,-69.1541,-69.1541,-70.4428,36.7100,,0,70.296261348409
BETW11,Indefinido,0.4398,,0,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,,1,
BICE11,Fundo de Fundos,6.5500,5869.22,0.8603,0.7300,0.6225,7.4700,2.3700,-7.8553,2.1983,1.4577,899.9500,1046.1200,120,42.262908427141
BICR11,Papéis,0.3630,27.43,0.8633,1.0200,0.3567,4.2800,4.5200,-26.9733,-9.6324,-10.5448,35.6300,42.5100,641,54.038343277347
BIDB11,Indefinido,1.3300,306282.62,0,1.7100,1.2283,14.7400,4.5800,-0.6655,7.2854,5.4817,77.7400,,0,16.550967313609
BIME11,Indefinido,0.0900,47876.86,0.8349,1.3300,1.2850,15.4200,4.0600,7.7656,6.3417,4.9459,6.7900,8.3600,8490,15.557443755838
BINC11,Papéis,1.0300,541168.05,0,1.1300,1.3025,5.2100,3.4100,0.9966,4.0214,2.8591,91.0200,,0,27.235417091086
BIPD11,Indefinido,73.0700,94906,0.9221,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,,112,11.141105239142
BLCA11,Indefinido,0.5000,104285.52,0.6732,0.5700,0.5283,6.3400,1.7100,-4.7301,3.5332,2.9464,87.0000,133.7700,491,52.021008556316
BLCP11,Imóveis Industriais e Logísticos,0.5634,103127.5,1.4261,0.6300,0.0000,0.0000,4.2600,,0.0000,0.0000,89.0000,111.7373,8102,0.871986216086
BLMC11,Papéis,5.3373,150671.33,1.3438,0.0000,0.0000,0.0000,0.7400,,0.0000,0.0000,,94.6900,8102,3.226525989103
BLMG11,Imóveis Industriais e Logísticos,0.3500,394761.38,0.4633,1.2300,1.4817,17.7800,6.0300,-8.2565,2.5677,1.3214,28.3700,70.3600,13571,19.819781262906
BLMO11,Lajes Corporativas,0.4600,1152557.48,0.7394,0.6000,0.5842,7.0100,1.7800,9.3206,-2.4102,-2.9923,76.5100,105.2200,363,42.507757262961
BLMR11,Fundo de Fundos,0.3733,1157702.33,0.1063,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,7.6100,8102,3.493134806392
BLOG11,Misto,0.0500,581.62,0.9383,0.4900,0.3500,3.1500,1.1600,-0.9695,-13.7813,-14.2017,10.2100,,50,61.492388659196
BLUR11,Papéis,0.4700,1040.29,0.9315,0.6800,0.6417,7.7000,2.4200,-3.7623,-6.5393,-7.1705,69.5200,,150,85.16132726465
BMLC11,Lajes Corporativas,0.7000,484236.1,0.9127,0.7100,1.9108,22.9300,2.1900,6.7994,2.0879,1.3682,99.2800,106.4300,1347,27.153485136286
BNFS11,Agências de Bancos,0.9193,140276.24,0.9052,1.2900,1.3333,16.0000,3.7400,-17.2508,-1.2117,-2.4698,71.0800,77.7100,5678,22.329849245569
BODB11,Indefinido,0.0992,1194821.48,0,1.3900,1.0533,12.6400,4.2500,-5.7118,9.5073,8.0060,7.1500,,0,18.560732389743
BPFF11,Fundo de Fundos,0.6200,243390.48,0.8634,1.1300,1.0308,12.3700,3.4100,2.5724,8.1079,6.8999,55.0000,66.9300,20808,17.03482812534
BPLC11,Misto,14.4205,,0,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,,,114,
BPML11,Shoppings,1.0700,1698251.52,0.6072,1.3600,1.3733,16.4800,4.4500,28.2603,15.1149,13.5703,78.9200,131.1600,5368,26.868886221439
BPRP11,Imóveis Industriais e Logísticos,0.9250,1228.57,0.8561,0.0000,0.3783,4.5400,4.5400,,0.0000,0.0000,,,171,15.537250867692
BRCO11,Imóveis Industriais e Logísticos,0.8700,2315773.81,0.891,0.8700,0.8317,9.9800,2.6800,5.6974,8.1035,7.1711,100.2800,118.4300,117237,14.352619668073
BRCR11,Lajes Corporativas,0.4500,1460062.95,0.4642,1.1300,1.1292,13.5500,3.6300,5.2878,2.9142,1.7643,39.8000,86.9700,125967,16.05353489977
BREV11,Lajes Corporativas,0.5800,202719.24,1.6455,0.5500,0.0000,0.0000,10.0300,22.0818,0.8670,0.3153,105.0000,0.0000,8102,0.339502029304
BRFT11,Misto,1.0200,26949.81,0,1.2800,1.3814,9.6700,9.6700,-5.9548,-1.7891,-3.0303,80.0000,0.0000,0,47.596133746625
BRIM11,Fundo de Desenvolvimento,149.0000,20331.86,0.8082,15.7500,2.8983,34.7800,15.7500,4.1196,4.1196,-10.0478,946.0000,,530,77.7770838094
BRIP11,Fundo de Desenvolvimento,27.8900,27824.14,1.1068,3.4200,3.1900,38.2800,15.9100,21.9481,-1.0862,-4.3572,815.0200,,378,108.69043594381
BRLA11,Imóveis Industriais e Logísticos,1.1500,21194.28,0.841,0.7800,0.3867,4.6400,4.6400,5.0598,5.8118,4.9929,146.9900,166.4600,435,76.516526650649
BROF11,Lajes Corporativas,0.5700,325068.1,0.4399,1.2000,1.0692,12.8300,3.6200,23.6303,-1.6209,-2.7875,47.4300,,9460,24.352529989534
BRZP11,,0.6600,458964.71,0,0.6700,0.6042,7.2500,2.1200,9.0652,6.9241,6.2124,98.9900,,0,17.566054691675
BTAG11,Indefinido,1.2500,166732.43,0,1.2600,57.1325,685.5900,614.7000,977.6975,0.9255,-0.3303,99.5700,0.0000,0,33.289811179217
BTAL11,Imóveis Industriais e Logísticos,0.8400,583422.71,0.6493,1.1500,1.2100,14.5200,3.6200,19.5152,6.7613,5.5475,73.0600,111.5900,39898,16.876621186145
BTCI11,Papéis,0.0930,1270134.14,0.9096,1.0900,1.0542,12.6500,3.2800,12.9729,5.7976,4.6569,8.5400,,186510,17.052715991898
BTCR11,Papéis,0.9000,244777.71,1.3791,0.9800,0.0000,0.0000,12.5300,14.5378,-5.0402,-5.9618,91.9600,95.2700,8102,32.776924943563
BTHF11,Papéis,0.0920,3521585,0.7697,1.2200,1.2875,5.1500,3.9400,-2.1253,10.4752,9.1437,7.5200,,326504,22.590955731165
BTHI11,Hotéis,0.2910,17736.48,0.5927,0.6900,0.8792,10.5500,2.6700,1.8444,7.6642,6.9264,41.9900,,1318,35.76521231541
BTLG11,Imóveis Industriais e Logísticos,0.7800,6819920.95,0.9388,0.8200,0.8308,9.9700,2.5900,11.2004,2.8848,2.0480,95.1700,103.8400,376433,15.795411030123
BTML11,Lajes Corporativas,0.8500,,0.879,0.8400,0.4417,5.3000,2.8600,1.2295,0.8400,0.0000,101.3700,,1,2.818957285451
BTRA11,Indefinido,0.3000,323921.05,0.5151,0.5700,0.7067,8.4800,2.1400,36.0696,11.0460,10.4167,53.0000,110.0900,13301,28.041673001792
