post_id,ticker,dividendo,yeld,media_yield_3m,soma_yield_3m,media_yield_6m,soma_yield_6m,media_yield_12m,soma_yield_12m,variacao_cotacao_mes,rentabilidade,rentabilidade_mes,cotacao_fechamento,soma_yield_ano_corrente,ano,vpa_yield,vpa,vpa_change,pl,vpa_rent,vpa_rent_m,yield_vpa_3m_sum,yield_vpa_3m,yield_vpa_6m_sum,yield_vpa_6m,yield_vpa_12m_sum,yield_vpa_12m,setor,setor_slug,valor,liquidezmediadiaria,patrimonio,pvp,p_vpa,post_title,ativos,volatility,numero_cotista,tx_gestao,tx_admin,tx_performance
2555,AAGR11,1.2088,1.2500,1.2900,3.8700,1.2200,7.3200,1.1992,14.3900,8.8939,4.0810,10.2551,96.9700,3.8700,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Indefinido,indefinido,97.28,8166.76,0,0,,AAGR11,,67.033057810883,0,,,
495,AAZQ11,0.0950,1.4400,1.5800,4.7400,1.4700,8.8200,1.3917,16.7000,-2.5037,-1.1578,-1.0997,6.6200,4.7400,2025,1.1021,8.6200,0.0000,207210754.5100,0.0000,0.0000,3.7088,1.2363,6.9947,1.1658,14.2824,1.1902,Indefinido,indefinido,7.28,548840.62,207210754.51,0.8445,0.8445475638051045,AAZQ11,,22.684753722077,29667,,,
238,ABCP11,0.5000,0.6700,0.7067,2.1200,0.8967,5.3800,0.8742,10.4900,1.8360,14.5576,2.5183,74.8800,2.1200,2025,0.4644,107.6600,17.2511,506969232.8200,26.1784,17.7957,1.5820,0.5273,3.5025,0.5838,6.3668,0.5306,Shoppings,shoppings,76.89,64576.19,506969232.82,0.7142,0.7141928292773546,ABCP11,1,33.154934803299,14987,,,
177,AFHI11,0.9800,1.0400,1.0667,3.2000,1.0483,6.2900,1.0392,12.4700,6.7157,11.8905,7.8256,94.2300,3.2000,2025,1.0407,93.2100,-1.8532,424611949.7500,5.3860,-0.8318,3.0872,1.0291,6.0263,1.0044,11.9827,0.9986,Papéis,papeis,93.2,802593.9,424611949.75,0.9999,0.999892715373887,AFHI11,14,11.760353259438,42586,,,
553,AGRX11,0.1100,1.3800,1.3833,4.1500,1.2050,7.2300,1.2633,15.1600,5.5556,12.0723,7.0122,7.9800,4.1500,2025,1.0753,10.2300,0.0000,183189143.8200,0.0000,0.0000,1.0753,1.0753,1.0753,1.0753,1.0753,1.0753,Indefinido,indefinido,8.04,154992.76,183189143.82,0.7859,0.785923753665689,AGRX11,0,32.527217888726,19514,,,
56,AIEC11,0.3200,0.7300,1.2633,3.7900,1.3450,8.0700,1.4042,16.8500,-4.3402,3.9409,-3.6419,43.8600,3.7900,2025,0.2186,77.7800,-16.8217,375308692.9900,-15.6765,-16.6399,2.6256,0.8752,5.0736,0.8456,10.1926,0.8494,Lajes Corporativas,lajes-corporativas,46.49,335393.19,375308692.99,0.5977,0.5977114939573155,AIEC11,2,17.561761929095,18384,,,
2722,AJFI11,0.0700,1.0200,1.0267,3.0800,0.9950,5.9700,0.8917,10.7000,2.5335,-0.2238,3.5794,6.8800,3.0800,2025,,,,,,,,,,,,,Shoppings,shoppings,7.29,1677723.19,384705054.16,0.5995,,AJFI11,6,16.605253881132,12950,,,
216,ALMI11,3.3901,0.5500,0.6867,2.0600,0.8333,5.0000,0.5092,6.1100,1.7632,21.8655,2.3229,616.9800,2.0600,2025,0.0000,2046.7799,-0.0517,214297860.7000,0.8982,-0.0517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Lajes Corporativas,lajes-corporativas,600,8754.38,234269728.92,0.2847,0.29314339074758355,ALMI11,1,37.849438623142,2006,,,
62,ALZC11,1.5475,2.0600,1.3167,3.9500,1.3250,7.9500,1.3191,14.5100,-7.4741,-16.6121,-5.5681,75.0200,3.9500,2025,,,,,,,,,,,,,Papéis,papeis,79.56,735544.24,118155565.38,1.2459,,ALZC11,14,34.150674048325,8102,,,
556,ALZM11,0.3984,6.3000,2.9533,8.8600,2.0200,12.1200,1.5183,18.2200,-1.2500,4.6483,4.9713,6.3200,7.5500,2025,1.0724,7.4600,-91.9395,113203496.2200,-91.5138,-91.8531,3.2942,1.0981,6.4635,1.0772,12.6091,1.0508,Fundo de Fundos,fundo-de-fundos,6.32,164.43,113203496.22,0.8472,0.8471849865951743,ALZM11,14,15.521906497147,12195,,,
